Winner,Loser
UTEP,Southern Ill.
Arkansas,Stanford
George Washington,Tennessee
Tennessee Tech,Robert Morris
Michigan,Texas
Syracuse,Texas A&M
Bob Jones,The Citadel
Boston College,UC Irvine
Gonzaga,UConn
UMES,Saint Francis (PA)
UNCG,Navy
USC Upstate,Ga. Southern
Georgia Tech,Villanova
Iowa St.,Virginia Tech
San Diego St.,West Virginia
Alabama,Wichita St.
NC State,Winthrop
Alas. Anchorage,San Jose St.
Florida A&M,Alcorn
New Hampshire,American
Austin Peay,Samford
BYU,Belmont
Binghamton,Boston U.
Bradley,Ole Miss
Buffalo,Canisius
Butler,SIUE
Cal Poly,Antelope Valley
Jacksonville St.,Chattanooga
Alabama St.,Chicago St.
Maryland,Cleveland St.
Campbell,Coastal Caro.
UTEP,Colorado St.
Coppin St.,Towson
Creighton,Western Ill.
Davidson,Denison
Drake,Ill.-Chicago
San Diego,Drexel
Eastern Ky.,Southern Utah
Eastern Mich.,Madonna
Pacific,Eastern Wash.
Fairleigh Dickinson,Saint Peter's
Stony Brook,Farmingdale St.
UNCG,Fort Wayne
Army West Point,Gardner-Webb
George Mason,Wright St.
Cincinnati,George Washington
Georgetown,Bryant
Eastern Ill.,Green Bay
Texas Tech,Hawaii
High Point,Morgan St.
St. Bonaventure,Hofstra
Houston,La.-Monroe
Howard,William & Mary
Iowa St.,Illinois
Navy,Jacksonville
Columbia,Longwood
UNC Asheville,Loyola Chicago
Fordham,Manhattan
Miami (OH),UCF
Toledo,Middle Tenn.
Robert Morris,Mississippi Val.
Morehead St.,Southern Miss.
Murray St.,Alabama A&M
Cal St. Fullerton,Nevada
Air Force,New Mexico St.
Northwestern,New Orleans
North Dakota,UNI
North Dakota St.,N.C. A&T
St. Francis Brooklyn,North Florida
Idaho,Northern Ill.
Abilene Christian,Oakland
VCU,Old Dominion
Oral Roberts,Detroit Mercy
Penn St.,Bucknell
Pittsburgh,Kent St.
Southern Ill.,Portland
Portland St.,Multnomah
Presbyterian,Wofford
Purdue,Lehigh
Rowan,La Salle
Louisville,Saint Louis
Seton Hall,Georgia
Siena,Loyola Maryland
Denver,South Ala.
Sacramento St.,South Dakota
Southeast Mo. St.,Loyola Marymount
Ark.-Pine Bluff,Southeastern La.
Wagner,Staten Island
Nebraska,Tennessee
Kennesaw St.,Tennessee St.
Tennessee Tech,UC Clermont
Washington St.,Texas Southern
McNeese,Texas St.
USC Upstate,The Citadel
Tulsa,Little Rock
UMBC,Colgate
UMKC,South Dakota St.
ETSU,UNCW
UNLV,Prairie View
Mississippi St.,UT Martin
Utah Valley,UC Davis
Ball St.,Valparaiso
UAB,Virginia Tech
Wyoming,Montana St.
Niagara,Youngstown St.
Notre Dame,Alabama
Albany (NY),Yale
Arizona,Boise St.
Santa Clara,Boston College
SMU,Brown
UCLA,CSUN
Central Conn. St.,Maine
Colorado,Northern Colo.
UMass Lowell,Cornell
Dartmouth,LIU Brooklyn
Temple,Delaware
San Francisco,Delaware St.
FGCU,Ave Maria
Navy,Fort Wayne
Holy Cross,Harvard
Wichita St.,Iowa
Lafayette,Penn
Vermont,Marist
Marquette,Jackson St.
Western Mich.,Mercer
Providence,Michigan St.
Tennessee Tech,Mississippi Val.
Southern California,Monmouth
NJIT,Me.-Fort Kent
Sacramento St.,Pacific
Pepperdine,Montana
Rice,UT Arlington
Rhode Island,Rider
Appalachian St.,SFA
Saint Mary's (CA),CSU Bakersfield
Sam Houston St.,Wiley
Kansas St.,South Carolina St.
Eastern Wash.,South Dakota
South Fla.,Savannah St.
Hartford,St. Francis Brooklyn
UTSA,Tex. Permian Basin
Liberty,Tulane
Evansville,UC Irvine
Lamar University,UC Riverside
Arizona St.,UC Santa Barbara
UNCG,Jacksonville
