Date,Industry,ret
1931-06-01,Durbl,14.63
1931-06-01,Shops,7.86
1931-07-01,Durbl,-2.1
1931-07-01,HiTec,-10.38
1931-07-01,Telcm,-4.87
1931-07-01,Manuf,-10.23
1931-07-01,Enrgy,-3.63
1931-07-01,Utils,-5.39
1931-07-01,Hlth,2.61
1931-07-01,Shops,-1.53
1931-07-01,Other,-9.91
1931-07-01,NoDur,-3.81
1931-08-01,HiTec,3.71
1931-08-01,Durbl,-2.78
1931-08-01,Other,-3.9
1931-08-01,Manuf,-0.15
1931-08-01,Telcm,0.82
1931-08-01,Utils,-1.74
1931-08-01,Enrgy,9.48
1931-08-01,Shops,3.02
1931-08-01,Hlth,0.39
1931-08-01,NoDur,-0.65
1931-09-01,Enrgy,-29.84
1931-09-01,NoDur,-24.69
1931-09-01,Shops,-30.24
1931-09-01,HiTec,-33.87
1931-09-01,Durbl,-34.8
1931-09-01,Hlth,-29.45
1931-09-01,Manuf,-29.82
1931-09-01,Utils,-33.05
1931-09-01,Other,-26.5
1931-09-01,Telcm,-21.56
1931-10-01,Enrgy,14.02
1931-10-01,Durbl,12.96
1931-10-01,HiTec,11.3
1931-10-01,Manuf,6.18
1931-10-01,Telcm,4.34
1931-10-01,NoDur,6.89
1931-10-01,Other,1.88
1931-10-01,Hlth,11.26
1931-10-01,Utils,10.48
1931-10-01,Shops,13.97
1931-11-01,Enrgy,-8.69
1931-11-01,Manuf,-8.31
1931-11-01,Utils,-4.77
1931-11-01,Hlth,-2.79
1931-11-01,Telcm,-6.86
1931-11-01,Shops,-9.4
1931-11-01,Durbl,-3.49
1931-11-01,HiTec,-14.16
1931-11-01,Other,-19.2
1931-11-01,NoDur,-4.35
1931-12-01,Shops,-15.17
1931-12-01,Enrgy,-18.91
1931-12-01,HiTec,-13.54
1931-12-01,Durbl,-8.78
1931-12-01,Manuf,-15.33
1931-12-01,Utils,-13.24
1931-12-01,Other,-16.48
1931-12-01,Hlth,-4.1
1931-12-01,Telcm,-7.94
1931-12-01,NoDur,-9.51
1932-01-01,Shops,0.79
1932-01-01,Other,6.71
1932-01-01,Enrgy,-4.86
1932-01-01,Manuf,-0.5
1932-01-01,Hlth,-2.66
1932-01-01,Utils,-2.52
1932-01-01,NoDur,2.06
1932-01-01,HiTec,-11.42
1932-01-01,Durbl,-6.9
1932-01-01,Telcm,-4.04
1932-02-01,Hlth,2.05
1932-02-01,Utils,7.04
1932-02-01,HiTec,6.28
1932-02-01,Telcm,11.63
1932-02-01,Manuf,5.96
1932-02-01,Other,-0.19
1932-02-01,Enrgy,8.75
1932-02-01,Durbl,2.09
1932-02-01,NoDur,5.37
1932-02-01,Shops,4.11
1932-03-01,Durbl,-22.18
1932-03-01,HiTec,-14.41
1932-03-01,NoDur,-5.98
1932-03-01,Enrgy,-1.1
1932-03-01,Utils,-9.57
1932-03-01,Hlth,-6.41
1932-03-01,Shops,-9.27
1932-03-01,Manuf,-14.36
1932-03-01,Other,-15.99
1932-03-01,Telcm,-9.9
1932-04-01,Durbl,-29.53
1932-04-01,Enrgy,-13.94
1932-04-01,Other,-22.34
1932-04-01,Utils,-15.5
1932-04-01,Hlth,-19.77
1932-04-01,Telcm,-12.39
1932-04-01,Manuf,-22.95
1932-04-01,Shops,-15.71
1932-04-01,NoDur,-11.35
1932-04-01,HiTec,-24.17
1932-05-01,Hlth,-34.08
1932-05-01,Utils,-26.82
1932-05-01,Durbl,-18.59
1932-05-01,Telcm,-10.81
1932-05-01,Enrgy,-5.56
1932-05-01,NoDur,-21.22
1932-05-01,HiTec,-28.6
1932-05-01,Manuf,-18.23
1932-05-01,Shops,-29.4
1932-05-01,Other,-30.03
1932-06-01,Enrgy,5.94
1932-06-01,Manuf,-2.57
1932-06-01,NoDur,1.16
1932-06-01,Utils,1.45
1932-06-01,Other,-2.01
1932-06-01,Shops,-0.59
1932-06-01,Hlth,11.05
1932-06-01,Durbl,-7.82
1932-06-01,HiTec,6.99
1932-06-01,Telcm,-9.55
1932-07-01,Manuf,41.74
1932-07-01,Utils,29.35
1932-07-01,Hlth,29.18
1932-07-01,Durbl,44.95
1932-07-01,HiTec,44.2
1932-07-01,Other,55.78
1932-07-01,Enrgy,35.13
1932-07-01,NoDur,24.7
1932-07-01,Telcm,16.7
1932-07-01,Shops,27.11
1932-08-01,Shops,32.91
1932-08-01,Telcm,28.17
1932-08-01,Other,58.75
1932-08-01,Durbl,45.25
1932-08-01,Hlth,35.87
1932-08-01,Enrgy,19.49
1932-08-01,Manuf,46.41
1932-08-01,HiTec,45.64
1932-08-01,Utils,43.46
1932-08-01,NoDur,22.71
1932-09-01,HiTec,-5.6
1932-09-01,Durbl,8.5
1932-09-01,NoDur,-0.86
1932-09-01,Utils,-4.65
1932-09-01,Enrgy,-10.16
1932-09-01,Other,-4.13
1932-09-01,Telcm,0.24
1932-09-01,Shops,3.06
1932-09-01,Manuf,-2.45
1932-09-01,Hlth,-11.92
1932-10-01,Other,-18.01
1932-10-01,Utils,-10.82
1932-10-01,Telcm,-8.13
1932-10-01,Durbl,-24.75
1932-10-01,Hlth,-18.56
1932-10-01,Manuf,-15.83
1932-10-01,NoDur,-11.41
1932-10-01,HiTec,-19.04
1932-10-01,Shops,-12.68
1932-10-01,Enrgy,-3.79
1932-11-01,NoDur,-7.1
1932-11-01,HiTec,-8.25
1932-11-01,Shops,-5.61
1932-11-01,Enrgy,-4.53
1932-11-01,Durbl,-2.71
1932-11-01,Other,-6.88
1932-11-01,Utils,-3.6
1932-11-01,Hlth,5.53
1932-11-01,Manuf,-10.3
1932-11-01,Telcm,-1.12
1932-12-01,NoDur,3.81
1932-12-01,Utils,9.12
1932-12-01,Durbl,4.47
1932-12-01,Telcm,3.67
1932-12-01,Hlth,6.82
1932-12-01,HiTec,7.53
1932-12-01,Other,4.9
1932-12-01,Enrgy,0.05
1932-12-01,Manuf,3.25
1932-12-01,Shops,5.0
1933-01-01,Telcm,0.31
1933-01-01,Hlth,-1.13
1933-01-01,HiTec,1.43
1933-01-01,Shops,-2.4
1933-01-01,Manuf,3.42
1933-01-01,NoDur,4.65
1933-01-01,Other,8.54
1933-01-01,Enrgy,-3.01
1933-01-01,Durbl,0.83
1933-01-01,Utils,-4.38
1933-02-01,Manuf,-17.53
1933-02-01,Enrgy,-13.9
1933-02-01,Durbl,-24.48
1933-02-01,NoDur,-9.06
1933-02-01,Shops,-17.96
1933-02-01,Utils,-19.85
1933-02-01,HiTec,-20.09
1933-02-01,Telcm,-7.77
1933-02-01,Hlth,-10.82
1933-02-01,Other,-16.42
1933-03-01,HiTec,6.23
1933-03-01,Shops,8.53
1933-03-01,Durbl,9.23
1933-03-01,NoDur,10.37
1933-03-01,Other,3.8
1933-03-01,Manuf,11.26
1933-03-01,Utils,-12.79
1933-03-01,Hlth,-3.16
1933-03-01,Enrgy,4.39
1933-03-01,Telcm,-5.85
1933-04-01,Durbl,79.79
1933-04-01,Enrgy,38.99
1933-04-01,Hlth,37.13
1933-04-01,Telcm,13.22
1933-04-01,Shops,42.45
1933-04-01,Other,30.73
1933-04-01,NoDur,34.17
1933-04-01,HiTec,53.49
1933-04-01,Utils,25.36
1933-04-01,Manuf,57.2
1933-05-01,Durbl,26.05
1933-05-01,Hlth,23.49
1933-05-01,Telcm,17.37
1933-05-01,NoDur,12.71
1933-05-01,Shops,17.06
1933-05-01,Other,31.5
1933-05-01,Utils,19.29
1933-05-01,HiTec,19.82
1933-05-01,Enrgy,17.71
1933-05-01,Manuf,26.03
1933-06-01,Other,14.51
1933-06-01,Hlth,10.39
1933-06-01,Enrgy,12.5
1933-06-01,Utils,15.58
1933-06-01,NoDur,10.34
1933-06-01,HiTec,10.82
1933-06-01,Manuf,12.41
1933-06-01,Telcm,10.5
1933-06-01,Durbl,20.75
1933-06-01,Shops,16.26
1933-07-01,Utils,-13.58
1933-07-01,HiTec,-11.07
1933-07-01,Shops,-13.46
1933-07-01,Enrgy,-12.05
1933-07-01,NoDur,-6.61
1933-07-01,Hlth,-19.11
1933-07-01,Durbl,-7.05
1933-07-01,Telcm,-4.36
1933-07-01,Other,-6.67
1933-07-01,Manuf,-11.36
1933-08-01,Durbl,20.76
1933-08-01,Utils,-1.23
1933-08-01,Shops,7.15
1933-08-01,Enrgy,19.07
1933-08-01,NoDur,9.86
1933-08-01,HiTec,12.89
1933-08-01,Telcm,4.53
1933-08-01,Manuf,16.21
1933-08-01,Hlth,-0.38
1933-08-01,Other,14.6
1933-09-01,Telcm,-3.56
1933-09-01,Utils,-19.74
1933-09-01,Durbl,-15.32
