name,country,gender,birth_year
Teresa Cohen,United States of America,female,1892
Edward Barbeau,,male,
George Thibaut,"United Kingdom, Germany",male,1848
Leo Zippin,United States of America,male,1905
George Sinclair (mathematician),,male,
David Cox (statistician),United Kingdom,male,1924
Étienne Fouvry,France,male,1900
Lawrie Brown,,male,
Wu Renchen,China,male,1628
Florence Nightingale David,United Kingdom,female,1909
Athir al-Din al-Abhari,"Iran, Iraq",male,1200
Michio Jimbo,Japan,male,1951
Inder Bir Singh Passi,,male,1939
Gilbert Ames Bliss,United States of America,male,1876
Timothy Browning,United Kingdom,male,1976
Monique Laurent,France,female,1960
Suzanne Weekes,,,
Jerome Cornfield,United States of America,male,1912
Josiah Willard Gibbs,United States of America,male,1839
Michael Benedicks,Sweden,male,1949
Lynne H. Walling,,female,
Nathan Daboll,United States of America,male,1750
James (Mac) Hyman,United States of America,male,1950
William Caspar Graustein,United States of America,male,1888
Ib Madsen,Denmark,male,1942
Curtis T. McMullen,United States of America,male,1958
Woody Bledsoe,United States of America,male,1921
Leslie Fox,United Kingdom,male,1918
Hélène Esnault,"France, Germany",female,1953
Bernadette Perrin-Riou,France,female,1955
Hugo Rossi,United States of America,male,1935
Heinrich Bruns,"German Empire, Kingdom of Saxony",male,1848
Henry Wilbraham,,male,1825
Józef Buzek,Poland,male,1873
Simon B. Kochen,United States of America,male,1934
Alfred Inselberg,,male,
Elizabeth Sparrow,,female,
Bernhard Neumann,"Germany, Australia",male,1909
Stephanie Singer,United States of America,female,
T. O. Engset,Norway,male,1865
Gustavo Colonnetti,Italy,male,1886
Peter Whittle (mathematician),New Zealand,male,1927
Sakabe Kōhan,Japan,male,1759
Heinrich Martin Weber,German Empire,male,1842
Vladimir Mironenko,"Soviet Union, Belarus",male,1942
Ibn Muʿādh al-Jayyānī,,male,989
Elliot Koffman,United States of America,male,1942
Conrad Habicht,Switzerland,male,1876
Raghavan Narasimhan,India,male,1937
Anders Hald,United States of America,male,1913
John Machin,United Kingdom,male,1680
